"hotel","tahun","lama_inap","dewasa","anakanak","balita","negara","sistem_boking","tipe_kamar","tipe_tamu","total","keterangan","tanggal_transaksi","ID"
"City Hotel",2015,2,1,0,0,"PRT","Call-Center","VIP","Sementara",0,"Check-Out",2015-07-03,69
"City Hotel",2015,4,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-07-01,30
"City Hotel",2015,4,1,0,0,"PRT","Call-Center","VIP","Sementara",68,"Check-In",2015-04-30,31
"City Hotel",2015,4,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-06-23,90
"City Hotel",2015,2,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-04-02,73
"City Hotel",2015,3,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-06-25,3
"City Hotel",2015,3,1,0,0,"PRT","Call-Center","VIP","Member",58.67,"Check-Out",2015-07-05,86
"City Hotel",2015,3,1,0,0,"PRT","Call-Center","VIP","Sementara",68,"Check-In",2015-06-25,18
"City Hotel",2015,3,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Booking",2015-07-02,91
"City Hotel",2015,3,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Booking",2015-07-02,33
"City Hotel",2015,2,2,0,0,"PRT","Call-Center","VIP","Member",86,"Check-Out",2015-07-05,50
"City Hotel",2015,2,2,0,0,"PRT","Call-Center","VIP","Member",43,"Check-Out",2015-07-05,42
"City Hotel",2015,2,2,0,0,"PRT","Call-Center","VIP","Member",86,"Check-Out",2015-07-05,75
"City Hotel",2015,2,1,0,0,"PRT","Call-Center","VIP","Member",63,"Check-Out",2015-07-05,15
"City Hotel",2015,2,2,0,0,"PRT","Call-Center","VIP","Member",86,"Check-In",2015-06-29,45
"City Hotel",2015,2,1,0,0,"PRT","Call-Center","VIP","Member",63,"Check-Out",2015-07-05,66
"City Hotel",2015,2,1,0,0,"PRT","Call-Center","VIP","Member",63,"Check-In",2015-06-16,47
"City Hotel",2015,2,2,0,0,"PRT","Call-Center","VIP","Member",86,"Check-Out",2015-07-05,46
"City Hotel",2015,2,2,0,0,"PRT","Call-Center","VIP","Member",86,"Check-Out",2015-07-05,88
"City Hotel",2015,2,1,0,0,"PRT","Call-Center","VIP","Member",63,"Check-In",2015-06-29,28
"City Hotel",2015,2,2,0,0,"PRT","Call-Center","VIP","Member",86,"Check-In",2015-06-16,11
"City Hotel",2015,2,2,0,0,"PRT","Call-Center","VIP","Sementara",63.75,"Check-In",2015-06-30,82
"City Hotel",2015,2,2,0,0,"PRT","Call-Center","VIP","Member",86,"Check-Out",2015-07-05,89
"City Hotel",2015,2,2,0,0,"PRT","Call-Center","VIP","Member",86,"Check-Out",2015-07-05,12
"City Hotel",2015,2,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-04-17,4
"City Hotel",2015,5,2,0,0,"PRT","Call-Center","VIP","Sementara",60.27,"Check-Out",2015-07-10,76
"City Hotel",2015,1,1,0,0,"PRT","Call-Center","VIP","Sementara",68,"Check-In",2015-06-01,25
"City Hotel",2015,1,1,0,0,"PRT","Call-Center","VIP","Sementara",68,"Check-In",2015-06-23,36
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-06-15,38
"City Hotel",2015,2,1,0,0,"PRT","Call-Center","VIP","Member",60,"Check-Out",2015-07-08,94
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Sementara",55.8,"Check-In",2015-06-30,71
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Sementara",52.36,"Check-In",2015-06-20,35
"City Hotel",2015,3,2,0,0,"PRT","Call-Center","VIP","Sementara",49.74,"Check-In",2015-07-03,40
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-06-20,48
"City Hotel",2015,3,1,0,0,"PRT","Call-Center","VIP","Sementara",68,"Check-In",2015-04-21,59
"City Hotel",2015,4,1,0,0,"PRT","Call-Center","VIP","Sementara",68,"Check-In",2015-06-20,43
"City Hotel",2015,4,2,0,1,"PRT","Call-Center","VIP","Sementara",93.6,"Check-In",2015-06-15,24
"City Hotel",2015,5,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-05-22,98
"City Hotel",2015,6,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-06-25,78
"City Hotel",2015,2,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Booking",2015-07-06,72
"City Hotel",2015,3,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-06-17,9
"City Hotel",2015,4,2,0,0,"PRT","Call-Center","VIP","Sementara",68,"Check-In",2015-06-27,96
"City Hotel",2015,4,1,0,0,"PRT","Call-Center","VIP","Sementara",68,"Check-In",2015-06-26,41
"City Hotel",2015,4,2,0,0,"PRT","Call-Center","VIP","Member",81,"Check-In",2015-06-27,57
"City Hotel",2015,2,2,1,0,"PRT","Call-Center","VIP","Sementara",76.08,"Check-Out",2015-07-09,27
"City Hotel",2015,3,2,0,0,"PRT","Call-Center","VIP","Member",76.5,"Check-In",2015-06-17,67
"City Hotel",2015,3,2,0,0,"PRT","Call-Center","VIP","Member",76.5,"Check-In",2015-06-17,14
"City Hotel",2015,3,2,0,0,"PRT","Call-Center","VIP","Sementara",37.33,"Check-In",2015-06-16,7
"City Hotel",2015,4,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-06-29,22
"City Hotel",2015,4,2,0,0,"PRT","Call-Center","VIP","Member",90,"Check-In",2015-06-27,74
"City Hotel",2015,5,2,0,0,"PRT","Langsung","VIP","Member",45,"Check-In",2015-07-07,81
"City Hotel",2015,5,2,0,0,"PRT","Langsung","VIP","Member",45,"Check-In",2015-07-07,83
"City Hotel",2015,5,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-07-07,19
"City Hotel",2015,8,2,0,0,"PRT","Call-Center","VIP","Sementara",62.37,"Check-Out",2015-07-17,49
"City Hotel",2015,15,1,0,0,"PRT","Call-Center","VIP","Sementara",48.6,"Check-In",2015-04-08,53
"City Hotel",2015,15,1,0,0,"PRT","Call-Center","VIP","Sementara",48.6,"Check-In",2015-04-11,99
"City Hotel",2015,15,1,0,0,"PRT","Call-Center","VIP","Sementara",48.6,"Check-In",2015-04-08,23
"City Hotel",2015,2,2,0,0,"PRT","Call-Center","VIP","Member",62,"Check-Out",2015-07-10,39
"City Hotel",2015,2,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-04-05,10
"City Hotel",2015,4,2,0,0,"PRT","Call-Center","VIP","Sementara",67.5,"Check-Out",2015-07-13,92
"City Hotel",2015,4,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-06-29,56
"City Hotel",2015,4,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-Out",2015-07-13,58
"City Hotel",2015,5,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-06-25,1
"City Hotel",2015,8,2,0,0,"PRT","Call-Center","VIP","Sementara",68.85,"Check-In",2015-05-14,68
"City Hotel",2015,8,2,0,0,"PRT","Call-Center","VIP","Sementara",68.85,"Check-In",2015-05-07,34
"City Hotel",2015,2,3,0,0,"PRT","Call-Center","VIP","Sementara",100,"Check-In",2015-06-15,85
"City Hotel",2015,3,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-06-27,37
"City Hotel",2015,3,2,0,0,"PRT","Call-Center","VIP","Sementara",58.9,"Check-Out",2015-07-14,60
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Sementara",63.75,"Check-In",2015-06-30,55
"City Hotel",2015,2,2,0,0,"PRT","Call-Center","VIP","Sementara",68.85,"Check-In",2015-07-01,20
"City Hotel",2015,2,2,0,0,"PRT","Langsung","VIP","Sementara",76.5,"Check-In",2015-07-10,17
"City Hotel",2015,3,1,0,0,"PRT","Call-Center","VIP","Sementara",68,"Check-In",2015-05-25,79
"City Hotel",2015,3,2,2,0,"PRT","Call-Center","VIP","Sementara",106.25,"Check-Out",2015-07-15,84
"City Hotel",2015,7,2,0,0,"PRT","Call-Center","VIP","Sementara",58.9,"Check-In",2015-06-01,62
"City Hotel",2015,7,2,0,0,"PRT","Call-Center","VIP","Sementara",58.9,"Check-In",2015-06-01,77
"City Hotel",2015,1,1,0,0,"PRT","Call-Center","VIP","Sementara",51.96,"Check-Out",2015-07-12,93
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",75,"Check-Out",2015-07-12,44
"City Hotel",2015,1,1,0,0,"PRT","Call-Center","VIP","Sementara",51.96,"Check-Out",2015-07-12,13
"City Hotel",2015,1,3,0,0,"PRT","Call-Center","VIP","Member",104,"Check-Out",2015-07-12,32
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-06-27,51
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",94.5,"Check-Out",2015-07-14,80
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",94.5,"Check-Out",2015-07-14,54
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-06-12,5
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-05-11,65
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",94.5,"Check-Out",2015-07-14,6
"City Hotel",2015,1,2,0,0,"ITA","Call-Center","VIP","Member",94.5,"Check-In",2015-06-23,21
"City Hotel",2015,1,3,0,0,"PRT","Call-Center","VIP","Member",138.5,"Check-Out",2015-07-14,95
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Sementara",55.96,"Check-Out",2015-07-14,16
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",94.5,"Check-Out",2015-07-14,61
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",94.5,"Check-Out",2015-07-14,64
"City Hotel",2015,1,1,0,0,"PRT","Call-Center","VIP","Member",72.5,"Check-Out",2015-07-14,97
"City Hotel",2015,1,2,0,0,"ITA","Call-Center","VIP","Member",94.5,"Check-In",2015-06-23,52
"City Hotel",2015,1,2,0,0,"ITA","Call-Center","VIP","Member",94.5,"Check-In",2015-06-23,26
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",94.5,"Check-Out",2015-07-14,63
"City Hotel",2015,1,2,0,0,"ITA","Call-Center","VIP","Member",94.5,"Check-In",2015-06-23,100
"City Hotel",2015,1,1,0,0,"PRT","Call-Center","VIP","Member",72.5,"Check-Out",2015-07-14,70
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",94.5,"Check-Out",2015-07-14,2
"City Hotel",2015,1,2,0,0,"ITA","Call-Center","VIP","Member",94.5,"Check-In",2015-06-23,8
"City Hotel",2015,1,2,0,0,"ITA","Call-Center","VIP","Member",94.5,"Check-In",2015-06-23,29
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",94.5,"Check-Out",2015-07-14,87
"City Hotel",2015,1,2,0,0,"ITA","Call-Center","VIP","Member",94.5,"Check-In",2015-06-23,69
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Sementara",55.96,"Check-Out",2015-07-14,30
"City Hotel",2015,1,1,0,0,"PRT","Call-Center","VIP","Member",72.5,"Check-Out",2015-07-14,31
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Sementara",58.9,"Check-Out",2015-07-14,90
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",94.5,"Check-Out",2015-07-14,73
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",94.5,"Check-Out",2015-07-14,3
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",94.5,"Check-Out",2015-07-14,86
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",94.5,"Check-Out",2015-07-14,18
"City Hotel",2015,1,2,0,0,"ITA","Call-Center","VIP","Member",94.5,"Check-In",2015-06-23,91
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-05-11,33
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",94.5,"Check-Out",2015-07-14,50
"City Hotel",2015,1,2,0,0,"ITA","Call-Center","VIP","Member",94.5,"Check-In",2015-06-23,42
"City Hotel",2015,1,3,0,0,"PRT","Call-Center","VIP","Member",138.5,"Check-Out",2015-07-14,75
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",94.5,"Check-Out",2015-07-14,15
"City Hotel",2015,1,2,0,0,"ITA","Call-Center","VIP","Member",94.5,"Check-In",2015-06-23,45
"City Hotel",2015,1,2,0,0,"ITA","Call-Center","VIP","Member",94.5,"Check-In",2015-06-23,66
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-07-02,47
"City Hotel",2015,4,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-06-15,46
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Sementara",63.75,"Check-Out",2015-07-14,88
"City Hotel",2015,1,2,0,0,"PRT","Langsung","VIP","Sementara",76.5,"Booking",2015-07-13,28
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",76.5,"Check-In",2015-06-17,11
"City Hotel",2015,1,2,0,0,"PRT","Langsung","VIP","Sementara",91.33,"Booking",2015-07-13,82
"City Hotel",2015,1,2,0,0,"PRT","Langsung","VIP","Sementara",76.5,"Booking",2015-07-13,89
"City Hotel",2015,1,2,1,0,"PRT","Langsung","VIP","Sementara",91.33,"Booking",2015-07-13,12
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",76.5,"Check-In",2015-06-17,4
"City Hotel",2015,1,2,0,0,"PRT","Langsung","VIP","Sementara",91.33,"Booking",2015-07-13,76
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-06-30,25
"City Hotel",2015,1,1,0,0,"PRT","Langsung","VIP","Sementara",67.15,"Booking",2015-07-13,36
"City Hotel",2015,2,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Booking",2015-07-13,38
"City Hotel",2015,2,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-06-29,94
"City Hotel",2015,3,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-03-13,71
"City Hotel",2015,3,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-06-30,35
"City Hotel",2015,5,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-07-03,40
"City Hotel",2015,7,2,0,0,"PRT","Call-Center","VIP","Sementara",55.96,"Check-In",2015-07-07,48
"City Hotel",2015,1,2,0,0,"PRT","Langsung","EXC","Sementara",0,"Check-In",2015-07-15,59
"City Hotel",2015,4,2,0,0,"PRT","Call-Center","VIP","Sementara",85.5,"Check-In",2015-06-30,43
"City Hotel",2015,4,2,0,0,"PRT","Call-Center","EXC","Sementara",89.25,"Booking",2015-07-15,24
"City Hotel",2015,4,2,0,0,"PRT","Call-Center","EXC","Sementara",89.25,"Check-In",2015-05-08,98
"City Hotel",2015,4,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-06-20,78
"City Hotel",2015,5,2,0,0,"PRT","Langsung","VIP","Sementara",0,"Check-Out",2015-07-22,72
"City Hotel",2015,7,1,0,0,"PRT","Call-Center","VIP","Sementara",68,"Check-In",2015-07-02,9
"City Hotel",2015,7,1,0,0,"PRT","Call-Center","VIP","Sementara",68,"Check-In",2015-05-27,96
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-05-07,41
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-05-07,57
"City Hotel",2015,2,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-04-29,27
"City Hotel",2015,2,2,0,0,"PRT","Call-Center","VIP","Sementara",85.5,"Booking",2015-07-16,67
"City Hotel",2015,5,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-06-17,14
"City Hotel",2015,3,2,0,0,"PRT","Call-Center","VIP","Sementara",76.5,"Check-In",2015-07-16,7
"City Hotel",2015,2,1,0,0,"PRT","Call-Center","VIP","Sementara",52.36,"Check-In",2015-07-13,22
"City Hotel",2015,1,1,0,0,"PRT","Call-Center","VIP","Member",57.5,"Check-Out",2015-07-20,74
"City Hotel",2015,1,1,0,0,"PRT","Call-Center","VIP","Member",57.5,"Check-Out",2015-07-20,81
"City Hotel",2015,1,3,0,0,"PRT","Call-Center","VIP","Member",108.75,"Check-Out",2015-07-20,83
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",75,"Check-Out",2015-07-20,19
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",75,"Check-Out",2015-07-20,49
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",75,"Check-Out",2015-07-20,53
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",75,"Check-Out",2015-07-20,99
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",75,"Check-Out",2015-07-20,23
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",75,"Check-Out",2015-07-20,39
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",75,"Check-Out",2015-07-20,10
"City Hotel",2015,1,1,0,0,"PRT","Call-Center","VIP","Member",57.5,"Check-Out",2015-07-20,92
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",75,"Check-Out",2015-07-20,56
"City Hotel",2015,1,2,0,0,"PRT","Call-Center","VIP","Member",75,"Check-Out",2015-07-20,58
"City Hotel",2015,1,3,0,0,"PRT","Call-Center","VIP","Member",108.75,"Check-Out",2015-07-20,1
